,User votes
924,"4,658 votes"
925,"12,986 votes"
926,57 votes
927,"50,384 votes"
928,"28,258 votes"
929,93 votes
930,"4,695 votes"
931,"2,550 votes"
932,172 votes
933,"2,210 votes"
934,52 votes
935,"71,227 votes"
936,82 votes
937,"2,255 votes"
938,"14,108 votes"
939,"16,814 votes"
940,42 votes
941,"20,173 votes"
942,"64,527 votes"
943,121 votes
944,"1,442 votes"
945,"1,513 votes"
946,598 votes
947,255 votes
948,360 votes
949,512 votes
950,"1,651 votes"
951,83 votes
952,"2,809 votes"
953,"1,611 votes"
954,"44,702 votes"
955,233 votes
956,"10,804 votes"
957,"145,021 votes"
958,209 votes
959,273 votes
960,"64,189 votes"
961,63 votes
962,25 votes
963,"1,128 votes"
964,37 votes
965,"1,935 votes"
966,"7,474 votes"
967,"16,310 votes"
968,322 votes
969,845 votes
970,"5,355 votes"
971,"270,783 votes"
972,"18,360 votes"
973,318 votes
974,"15,169 votes"
975,"31,695 votes"
976,"1,995 votes"
977,"7,997 votes"
978,39 votes
979,612 votes
980,"62,135 votes"
981,12 votes
982,57 votes
983,845 votes
984,73 votes
985,"53,335 votes"
986,"149,235 votes"
987,"8,568 votes"
988,100 votes
989,"52,381 votes"
990,"144,313 votes"
991,968 votes
992,476 votes
993,344 votes
994,54 votes
995,"3,933 votes"
996,"1,497 votes"
997,317 votes
998,306 votes
999,"9,350 votes"
1000,"175,577 votes"
1001,"1,633 votes"
1002,"1,591 votes"
1003,"8,719 votes"
1004,523 votes
1005,"144,149 votes"
1006,"14,568 votes"
1007,"85,657 votes"
1008,"2,963 votes"
1009,"2,511 votes"
1010,234 votes
1011,365 votes
1012,"5,761 votes"
1013,164 votes
1014,46 votes
1015,"1,707 votes"
1016,"5,082 votes"
1017,"1,782 votes"
1018,"2,819 votes"
1019,499 votes
1020,"50,559 votes"
1021,"31,337 votes"
1022,"62,765 votes"
1023,"7,408 votes"
1024,"37,283 votes"
1025,"9,673 votes"
1026,"4,308 votes"
1027,382 votes
1028,"1,401 votes"
1029,"29,304 votes"
1030,"29,855 votes"
1031,"4,125 votes"
1032,"1,672 votes"
1033,"5,796 votes"
1034,"19,263 votes"
1035,"15,105 votes"
1036,"47,871 votes"
1037,"38,357 votes"
1038,"5,491 votes"
1039,"5,483 votes"
1040,"14,913 votes"
1041,"2,281 votes"
1042,"30,412 votes"
1043,"3,955 votes"
1044,"10,602 votes"
1045,"6,644 votes"
1046,"4,962 votes"
1047,"2,351 votes"
1048,"21,425 votes"
1049,"10,177 votes"
1050,"3,718 votes"
1051,"4,166 votes"
1052,"167,267 votes"
1053,"18,352 votes"
1054,"12,093 votes"
1055,64 votes
1056,"8,526 votes"
1057,"6,533 votes"
1058,"9,419 votes"
1059,"6,766 votes"
1060,"5,794 votes"
1061,"9,773 votes"
1062,"5,330 votes"
1063,"15,839 votes"
1064,770 votes
1065,"14,063 votes"
1066,"3,671 votes"
1067,"1,920 votes"
1068,"13,497 votes"
1069,690 votes
1070,"2,259 votes"
1071,"104,792 votes"
1072,"19,790 votes"
1073,"9,751 votes"
1074,"10,066 votes"
1075,"7,627 votes"
1076,"3,808 votes"
1077,"4,306 votes"
1078,"13,641 votes"
1079,"2,006 votes"
1080,"11,347 votes"
1081,448 votes
1082,"2,889 votes"
1083,"6,435 votes"
1084,48 votes
1085,"14,430 votes"
1086,"8,230 votes"
1087,487 votes
1088,"3,375 votes"
1089,"3,396 votes"
1090,"10,282 votes"
1091,"6,254 votes"
1092,"2,143 votes"
1093,774 votes
1094,"1,514 votes"
1095,"2,297 votes"
1096,"1,487 votes"
1097,"5,287 votes"
1098,536 votes
1099,"6,364 votes"
1100,"6,360 votes"
1101,"26,139 votes"
1102,"2,577 votes"
1103,"4,086 votes"
1104,"1,714 votes"
1105,"9,753 votes"
1106,"2,828 votes"
1107,875 votes
1108,"1,920 votes"
1109,"8,223 votes"
1110,"8,223 votes"
1111,"11,367 votes"
1112,"5,844 votes"
1113,"1,657 votes"
1114,"9,664 votes"
1115,"1,115 votes"
1116,637 votes
1117,"1,285 votes"
1118,"11,690 votes"
1119,"6,108 votes"
1120,"8,258 votes"
1121,"3,466 votes"
1122,999 votes
1123,"2,028 votes"
1124,16 votes
1125,"2,678 votes"
1126,"4,127 votes"
1127,"1,403 votes"
1128,"5,979 votes"
1129,"11,376 votes"
1130,865 votes
1131,577 votes
1132,48 votes
1133,199 votes
1134,"124,797 votes"
1135,"246,289 votes"
1136,52 votes
1137,463 votes
1138,"1,232 votes"
1139,"1,711 votes"
1140,"5,910 votes"
1141,"23,323 votes"
1142,"1,368 votes"
1143,"1,102 votes"
1144,"3,760 votes"
1145,"50,820 votes"
1146,445 votes
1147,911 votes
1148,157 votes
1149,"67,937 votes"
1150,"4,302 votes"
1151,"5,243 votes"
1152,888 votes
1153,"7,736 votes"
1154,"10,324 votes"
1155,"4,929 votes"
1156,"2,511 votes"
1157,"4,170 votes"
1158,261 votes
1159,44 votes
1160,650 votes
1161,"1,141 votes"
1162,"69,061 votes"
1163,"154,449 votes"
1164,"3,555 votes"
1165,"125,291 votes"
1166,598 votes
1167,"71,637 votes"
1168,"4,169 votes"
1169,"10,310 votes"
1170,365 votes
1171,61 votes
1172,"4,304 votes"
1173,"3,142 votes"
1174,"129,463 votes"
1175,270 votes
1176,178 votes
1177,"8,548 votes"
1178,894 votes
1179,"2,636 votes"
1180,"2,702 votes"
1181,157 votes
1182,"75,546 votes"
1183,202 votes
1184,"5,392 votes"
1185,"71,332 votes"
1186,"6,208 votes"
1187,"105,371 votes"
1188,450 votes
1189,"2,796 votes"
1190,157 votes
1191,635 votes
1192,"75,274 votes"
1193,"11,283 votes"
1194,"1,240 votes"
1195,169 votes
1196,63 votes
1197,759 votes
1198,189 votes
1199,"6,778 votes"
1200,153 votes
1201,"1,032 votes"
1202,"33,398 votes"
1203,"62,667 votes"
1204,"17,210 votes"
1205,191 votes
1206,"2,750 votes"
1207,987 votes
1208,"74,722 votes"
1209,"80,034 votes"
1210,"55,647 votes"
1211,"18,655 votes"
1212,"5,254 votes"
1213,"182,024 votes"
1214,"1,512 votes"
1215,"35,457 votes"
1216,"3,134 votes"
1217,"2,525 votes"
1218,"1,521 votes"
1219,47 votes
1220,253 votes
1221,"1,355 votes"
1222,"1,806 votes"
1223,"27,853 votes"
1224,"2,642 votes"
1225,49 votes
1226,"4,679 votes"
1227,639 votes
1228,538 votes
1229,"3,910 votes"
1230,"25,794 votes"
1231,"38,268 votes"
1232,"3,850 votes"
1233,51 votes
1234,"53,921 votes"
1235,"30,654 votes"
1236,121 votes
1237,"4,848 votes"
1238,"2,303 votes"
1239,"5,590 votes"
1240,"184,094 votes"
1241,59 votes
1242,226 votes
1243,280 votes
1244,"2,707 votes"
1245,"1,285 votes"
1246,"12,194 votes"
1247,522 votes
1248,"19,531 votes"
1249,276 votes
1250,"1,200 votes"
1251,11 votes
1252,"124,443 votes"
1253,"3,390 votes"
1254,66 votes
1255,"6,337 votes"
1256,"25,768 votes"
1257,"2,634 votes"
1258,913 votes
1259,575 votes
1260,189 votes
1261,"156,411 votes"
1262,412 votes
1263,938 votes
1264,687 votes
1265,"64,300 votes"
1266,23 votes
1267,"2,211 votes"
1268,"50,607 votes"
1269,80 votes
1270,139 votes
1271,"2,259 votes"
1272,"1,568 votes"
1273,30 votes
1274,300 votes
1275,"1,212 votes"
1276,197 votes
1277,762 votes
1278,304 votes
1279,"8,124 votes"
1280,"1,244 votes"
1281,"8,479 votes"
1282,"1,094 votes"
1283,113 votes
1284,153 votes
1285,33 votes
1286,"4,731 votes"
1287,712 votes
1288,679 votes
1289,"5,472 votes"
1290,"57,069 votes"
1291,"21,035 votes"
1292,76 votes
1293,"241,268 votes"
1294,198 votes
1295,320 votes
1296,"17,903 votes"
1297,694 votes
1298,990 votes
1299,356 votes
1300,"31,184 votes"
1301,237 votes
1302,205 votes
1303,130 votes
1304,134 votes
1305,139 votes
1306,"1,318 votes"
1307,"30,208 votes"
1308,"1,567 votes"
1309,222 votes
1310,17 votes
1311,271 votes
1312,696 votes
1313,"3,894 votes"
1314,"36,478 votes"
1315,"3,483 votes"
1316,"57,767 votes"
1317,"23,269 votes"
